user1_id,user2_id,user1_rating,user2_rating,rating_diff,winner_id,user1_won,problem_rating
user_873,user_373,973,1616,643,user_373,0,1294
user_16,user_234,894,2305,1411,user_234,0,1599
user_348,user_391,976,1404,428,user_391,0,1190
user_797,user_748,1486,1008,478,user_797,1,1247
user_631,user_782,1917,1358,559,user_631,1,1637
user_10,user_954,1054,1182,128,user_954,0,1118
user_760,user_19,1019,800,219,user_19,0,909
user_700,user_317,1036,1104,68,user_700,1,1070
user_81,user_703,1349,800,549,user_81,1,1074
user_612,user_890,1318,1550,232,user_890,0,1434
user_177,user_296,1874,1587,287,user_177,1,1730
user_67,user_28,1637,1012,625,user_67,1,1324
user_601,user_53,919,1456,537,user_53,0,1187
user_196,user_11,929,1053,124,user_11,0,991
user_634,user_709,894,2016,1122,user_709,0,1455
user_551,user_605,1156,2128,972,user_605,0,1642
user_566,user_580,800,1341,541,user_580,0,1070
user_61,user_486,1146,998,148,user_61,1,1072
user_981,user_849,1376,1033,343,user_981,1,1204
user_80,user_107,1134,1277,143,user_80,1,1205
user_665,user_164,1251,1618,367,user_164,0,1434
user_596,user_200,1117,1349,232,user_200,0,1233
user_580,user_115,1341,1326,15,user_115,0,1333
user_990,user_35,1290,840,450,user_990,1,1065
user_804,user_38,1063,813,250,user_804,1,938
user_322,user_476,948,1440,492,user_476,0,1194
user_15,user_95,1023,800,223,user_15,1,911
user_715,user_837,1687,898,789,user_715,1,1292
user_802,user_434,1247,1902,655,user_434,0,1574
user_932,user_489,800,1578,778,user_489,0,1189
user_660,user_702,1020,981,39,user_660,1,1000
user_48,user_34,1343,1551,208,user_48,1,1447
user_696,user_73,1336,1937,601,user_73,0,1636
user_298,user_677,1546,2050,504,user_677,0,1798
user_565,user_884,1072,1487,415,user_884,0,1279
user_962,user_499,1285,800,485,user_962,1,1042
user_871,user_437,953,801,152,user_437,0,877
user_633,user_948,1066,1195,129,user_948,0,1130
user_262,user_568,800,800,0,user_568,0,800
user_268,user_191,1062,1567,505,user_191,0,1314
user_158,user_823,847,1086,239,user_823,0,966
user_328,user_216,1461,961,500,user_328,1,1211
user_499,user_165,800,1371,571,user_165,0,1085
user_127,user_615,1022,1259,237,user_615,0,1140
user_744,user_429,1415,800,615,user_744,1,1107
user_647,user_107,1192,1277,85,user_107,0,1234
user_698,user_771,1599,1023,576,user_698,1,1311
user_289,user_924,1005,1734,729,user_924,0,1369
user_802,user_588,1247,1554,307,user_588,0,1400
user_798,user_904,1222,1283,61,user_904,0,1252
user_978,user_871,800,953,153,user_871,0,876
user_980,user_353,1534,1155,379,user_980,1,1344
user_494,user_352,1913,1567,346,user_494,1,1740
user_204,user_507,801,935,134,user_204,1,868
user_321,user_248,1448,2058,610,user_248,0,1753
user_114,user_46,1144,1055,89,user_46,0,1099
user_7,user_350,1525,1330,195,user_350,0,1427
user_839,user_429,1136,800,336,user_429,0,968
user_609,user_551,1898,1156,742,user_609,1,1527
user_599,user_432,1357,1117,240,user_599,1,1237
user_810,user_196,1145,929,216,user_810,1,1037
user_504,user_111,997,1202,205,user_111,0,1099
user_994,user_258,897,1384,487,user_994,1,1140
user_24,user_458,1029,1026,3,user_24,1,1027
user_128,user_32,1248,1207,41,user_32,0,1227
user_120,user_572,1536,1336,200,user_120,1,1436
user_871,user_553,953,1308,355,user_553,0,1130
user_859,user_555,1465,1071,394,user_859,1,1268
user_449,user_612,882,1318,436,user_612,0,1100
user_59,user_995,1624,1113,511,user_59,1,1368
user_61,user_48,1146,1343,197,user_61,1,1244
user_387,user_745,2127,974,1153,user_387,1,1550
user_724,user_499,1275,800,475,user_724,1,1037
user_96,user_438,1324,800,524,user_96,1,1062
user_13,user_736,800,1308,508,user_736,0,1054
user_228,user_917,977,1281,304,user_917,0,1129
