contest_id,index,name,rating,tags,solved_count
2218,G,"The 67th Iteration of ""Counting is Fun""",1800.0,"implementation, math",3844
2218,F,The 67th Tree Problem,1500.0,"constructive algorithms, implementation, trees",7709
2218,E,The 67th XOR Problem,1200.0,"binary search, bitmasks, brute force",14776
2218,D,The 67th OEIS Problem,1100.0,"constructive algorithms, greedy, math, number theory",19075
2218,C,The 67th Permutation Problem,800.0,"constructive algorithms, greedy, math",27436
2218,B,The 67th 6-7 Integer Problem,800.0,"greedy, math",35025
2218,A,The 67th Integer Problem,800.0,"brute force, games, implementation, math",36340
2217,H,Closer,2800.0,"dfs and similar, dp, trees",224
2217,G,Down the Pivot,2600.0,"combinatorics, dp, math, trees",378
2217,F,Interval Game,2300.0,"bitmasks, combinatorics, constructive algorithms, dp, games, greedy, math, probabilities",752
2217,E,Definitely Larger,2000.0,"binary search, constructive algorithms, data structures, graphs, greedy, sortings",2183
2217,D,Flip the Bit (Hard Version),1900.0,"greedy, implementation, math",3453
2217,C,Grid Covering,1300.0,"chinese remainder theorem, math, number theory",10804
2217,B,Flip the Bit (Easy Version),1000.0,"greedy, implementation",16631
2217,A,The Equalizer,800.0,math,22620
2216,B,THU Packing Puzzle,1300.0,greedy,3934
2216,A,Course Wishes,900.0,greedy,4819
2215,G,Maze,3500.0,trees,57
2215,F,Research,3500.0,games,54
2215,E,Star Map,2700.0,"constructive algorithms, data structures, geometry, greedy, sortings",181
2215,D,"EXPloration, EXPloitation, and Gain Some EXPerience!",2800.0,"bitmasks, brute force, dp, greedy, implementation",123
2215,C,Oriented Journey,2200.0,"bitmasks, brute force, communication, constructive algorithms, graphs, interactive, trees",672
2215,B,RReeppeettiittiioonn,2000.0,"binary search, brute force, implementation, math, number theory",1095
2215,A,Interval Mod,1700.0,"constructive algorithms, dp, greedy, math",2839
2211,H,Median Deletion,3500.0,,105
2211,G,Rational Bubble Sort,2900.0,"constructive algorithms, geometry, greedy",288
2211,F,Learning Binary Search,2400.0,"combinatorics, divide and conquer, dp, math",946
