user_id,rating,problems_solved,contests_participated,win_rate,avg_solve_time_min,favorite_tag
user_0,1406,437,31,0.186,25.4,trees
user_1,1162,314,64,0.216,26.5,binary search
user_2,1471,326,19,0.135,36.3,binary search
user_3,1913,644,48,0.584,6.1,strings
user_4,1129,18,45,0.303,33.4,trees
user_5,1129,783,94,0.598,17.4,greedy
user_6,1946,82,55,0.12,26.1,greedy
user_7,1525,368,55,0.47,17.2,implementation
user_8,1052,232,97,0.366,34.6,implementation
user_9,1426,425,18,0.337,22.1,dp
user_10,1054,562,63,0.547,33.5,graphs
user_11,1053,379,92,0.21,29.4,math
user_12,1303,725,47,0.655,17.1,binary search
user_13,800,273,75,0.595,30.0,trees
user_14,800,699,57,0.393,18.4,binary search
user_15,1023,327,45,0.463,25.6,implementation
user_16,894,93,33,0.48,21.9,dp
user_17,1331,327,17,0.542,34.0,trees
user_18,922,120,70,0.363,30.4,trees
user_19,800,260,4,0.133,24.7,binary search
user_20,1881,392,20,0.439,18.1,graphs
user_21,1132,16,47,0.18,12.3,dp
user_22,1236,468,91,0.23,26.4,graphs
user_23,800,93,15,0.559,18.7,dp
user_24,1029,217,70,0.164,6.2,binary search
user_25,1252,399,47,0.568,11.7,dp
user_26,858,323,78,0.251,41.3,greedy
user_27,1356,31,75,0.297,18.4,trees
user_28,1012,419,9,0.419,35.8,math
user_29,1110,524,90,0.486,21.4,binary search
user_30,1011,136,16,0.701,37.4,strings
user_31,2112,709,69,0.575,36.7,math
user_32,1207,23,61,0.491,16.7,binary search
user_33,882,21,10,0.53,5.1,math
user_34,1551,96,50,0.726,6.0,greedy
user_35,840,533,3,0.419,16.9,math
user_36,1290,546,77,0.153,43.9,dp
user_37,800,310,94,0.472,20.9,implementation
user_38,813,252,70,0.582,26.5,math
user_39,1285,131,81,0.554,38.0,binary search
user_40,1512,156,51,0.36,26.1,strings
user_41,1275,576,19,0.573,25.8,strings
user_42,1170,759,42,0.309,31.2,implementation
user_43,1107,365,35,0.13,27.9,graphs
user_44,800,694,46,0.611,24.0,implementation
user_45,976,742,26,0.616,17.8,trees
user_46,1055,640,69,0.423,25.8,math
user_47,1664,318,93,0.165,35.9,strings
user_48,1343,704,64,0.627,42.8,implementation
user_49,800,297,37,0.531,27.9,math
user_50,1335,316,84,0.926,32.6,trees
user_51,1079,603,49,0.477,27.7,strings
user_52,989,732,21,0.037,24.1,trees
user_53,1456,671,74,0.169,30.1,math
user_54,1651,558,64,0.134,36.9,binary search
user_55,1602,361,5,0.031,16.1,math
user_56,942,321,70,0.532,10.5,implementation
user_57,1104,68,90,0.693,19.7,trees
user_58,1338,652,4,0.123,27.1,binary search
user_59,1624,723,39,0.294,33.7,binary search
user_60,1049,764,35,0.561,15.1,graphs
user_61,1146,44,1,0.433,5.0,strings
user_62,869,454,24,0.005,19.9,dp
user_63,846,102,57,0.272,23.1,binary search
user_64,1546,216,70,0.249,13.4,trees
user_65,1820,362,41,0.36,17.4,strings
user_66,1186,341,54,0.423,33.7,greedy
user_67,1637,734,46,0.693,25.8,math
user_68,1350,168,60,0.203,28.5,implementation
user_69,998,33,60,0.184,21.4,trees
user_70,1350,413,57,0.489,17.5,greedy
user_71,1922,525,31,0.087,21.4,trees
user_72,1199,741,84,0.492,30.0,math
user_73,1937,373,24,0.575,10.1,graphs
user_74,800,391,89,0.316,41.5,trees
user_75,1550,541,36,0.207,30.7,binary search
user_76,1244,161,85,0.384,19.6,dp
user_77,1107,571,30,0.513,33.1,binary search
user_78,1245,698,24,0.06,37.2,math
user_79,800,617,30,0.557,21.7,trees
user_80,1134,626,86,0.482,22.8,dp
user_81,1349,429,92,0.559,39.9,binary search
user_82,1888,259,7,0.482,46.2,dp
user_83,1037,126,35,0.202,25.3,implementation
user_84,950,521,55,0.386,13.4,math
user_85,1042,749,92,0.637,20.3,graphs
user_86,1594,587,14,0.489,35.3,graphs
user_87,1337,344,10,0.105,14.7,trees
user_88,1033,427,80,0.41,22.9,binary search
user_89,1413,783,16,0.277,27.9,greedy
user_90,1247,304,54,0.453,15.8,math
user_91,1620,764,95,0.265,36.0,binary search
user_92,981,380,89,0.243,31.9,binary search
user_93,1098,195,77,0.487,45.1,graphs
user_94,1077,255,70,0.464,32.8,trees
user_95,800,646,44,0.341,15.4,dp
user_96,1324,277,73,0.657,30.3,math
user_97,1310,652,45,0.635,34.9,implementation
user_98,1213,246,56,0.192,35.4,dp
user_99,1129,539,84,0.744,17.2,strings
user_100,800,561,82,0.59,16.0,strings
user_101,1068,30,57,0.038,13.6,math
user_102,1093,746,21,0.097,41.0,trees
user_103,952,529,68,0.529,31.2,greedy
user_104,1154,109,50,0.322,16.8,strings
user_105,1368,761,33,0.068,26.3,graphs
user_106,2134,487,91,0.328,23.8,greedy
user_107,1277,608,7,0.173,15.3,binary search
user_108,1309,307,70,0.404,25.4,strings
user_109,1185,535,15,0.7,26.9,graphs
user_110,800,343,82,0.677,44.3,binary search
